2024-03-22 16:59:20.996 [main] INFO  com.sky.SkyApplication - Starting SkyApplication using Java 1.8.0_392 on LAPTOP-46U4TV6K with PID 50780 (D:\GSF_Data\Github\Java\Java_Learn_Examples\Use_SpringBoot_Vue\TakeOut_CangQiong\sky-take-out\sky-server\target\classes started by HMTeen in D:\GSF_Data\Github\Java\Java_Learn_Examples\Use_SpringBoot_Vue\TakeOut_CangQiong\sky-take-out)
2024-03-22 16:59:21.003 [main] INFO  com.sky.SkyApplication - The following 1 profile is active: "pro"
2024-03-22 16:59:21.679 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-03-22 16:59:21.680 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-03-22 16:59:21.714 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
2024-03-22 16:59:22.723 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2024-03-22 16:59:22.724 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.39] using APR version [1.7.4].
2024-03-22 16:59:22.724 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2024-03-22 16:59:22.724 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2024-03-22 16:59:22.737 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 3.0.11 19 Sep 2023]
2024-03-22 16:59:22.743 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2024-03-22 16:59:22.743 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-03-22 16:59:22.743 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2024-03-22 16:59:23.019 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-03-22 16:59:23.019 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1982 ms
2024-03-22 16:59:23.122 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2024-03-22 16:59:23.195 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-03-22 16:59:23.398 [main] INFO  com.sky.config.OssConfiguration - 开始创建阿里云文件上传工具类对象：AliOssProperties(endpoint=oss-cn-beijing.aliyuncs.com, accessKeyId=LTAI5tNdcLQruEKHoHS3atAA, accessKeySecret=ECyZAfVTC5FuFinbS8vbl6QT4ghWgq, bucketName=sky-take-out-gsf)
2024-03-22 16:59:23.540 [main] INFO  com.sky.config.RedisConfiguration - 开始创建redis模板类...
2024-03-22 16:59:23.752 [main] INFO  com.sky.config.WebMvcConfiguration - 开始注册自定义拦截器...
2024-03-22 16:59:23.832 [main] INFO  com.sky.config.WebMvcConfiguration - 开始扩展消息转换器...
2024-03-22 16:59:24.183 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2024-03-22 16:59:24.196 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
2024-03-22 16:59:24.471 [main] INFO  com.sky.SkyApplication - Started SkyApplication in 3.837 seconds (JVM running for 4.979)
2024-03-22 16:59:24.472 [main] INFO  com.sky.SkyApplication - server started
2024-03-22 17:00:16.019 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-03-22 17:00:16.019 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
